[Gloo] Rank [Gloo] Rank 4 is connected to 57 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/600b88b4-a87b-4201-a8ab-f7bc7b5c0fcf.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:222/1480 train_time:6539ms step_avg:29.45ms
step:223/1480 train_time:6565ms step_avg:29.44ms
step:224/1480 train_time:6598ms step_avg:29.45ms
step:225/1480 train_time:6624ms step_avg:29.44ms
step:226/1480 train_time:6657ms step_avg:29.46ms
step:227/1480 train_time:6683ms step_avg:29.44ms
step:228/1480 train_time:6716ms step_avg:29.46ms
step:229/1480 train_time:6741ms step_avg:29.44ms
step:230/1480 train_time:6775ms step_avg:29.46ms
step:231/1480 train_time:6800ms step_avg:29.44ms
step:232/1480 train_time:6834ms step_avg:29.46ms
step:233/1480 train_time:6860ms step_avg:29.44ms
step:234/1480 train_time:6894ms step_avg:29.46ms
step:235/1480 train_time:6919ms step_avg:29.44ms
step:236/1480 train_time:6953ms step_avg:29.46ms
step:237/1480 train_time:6978ms step_avg:29.44ms
step:238/1480 train_time:7012ms step_avg:29.46ms
step:239/1480 train_time:7037ms step_avg:29.44ms
step:240/1480 train_time:7071ms step_avg:29.46ms
step:241/1480 train_time:7097ms step_avg:29.45ms
step:242/1480 train_time:7131ms step_avg:29.47ms
step:243/1480 train_time:7156ms step_avg:29.45ms
step:244/1480 train_time:7190ms step_avg:29.47ms
step:245/1480 train_time:7215ms step_avg:29.45ms
step:246/1480 train_time:7249ms step_avg:29.47ms
step:247/1480 train_time:7275ms step_avg:29.45ms
step:248/1480 train_time:7308ms step_avg:29.47ms
step:249/1480 train_time:7334ms step_avg:29.45ms
step:250/1480 train_time:7367ms step_avg:29.47ms
step:250/1480 val_loss:4.5018 train_time:7399ms step_avg:29.60ms
step:251/1480 train_time:7419ms step_avg:29.56ms
step:252/1480 train_time:7438ms step_avg:29.51ms
step:253/1480 train_time:7454ms step_avg:29.46ms
step:254/1480 train_time:7485ms step_avg:29.47ms
step:255/1480 train_time:7511ms step_avg:29.45ms
step:256/1480 train_time:7545ms step_avg:29.47ms
step:257/1480 train_time:7571ms step_avg:29.46ms
step:258/1480 train_time:7604ms step_avg:29.47ms
step:259/1480 train_time:7629ms step_avg:29.46ms
step:260/1480 train_time:7662ms step_avg:29.47ms
step:261/1480 train_time:7688ms step_avg:29.45ms
step:262/1480 train_time:7721ms step_avg:29.47ms
step:263/1480 train_time:7746ms step_avg:29.45ms
step:264/1480 train_time:7778ms step_avg:29.46ms
step:265/1480 train_time:7804ms step_avg:29.45ms
step:266/1480 train_time:7837ms step_avg:29.46ms
step:267/1480 train_time:7862ms step_avg:29.45ms
step:268/1480 train_time:7895ms step_avg:29.46ms
step:269/1480 train_time:7920ms step_avg:29.44ms
step:270/1480 train_time:7952ms step_avg:29.45ms
step:271/1480 train_time:7978ms step_avg:29.44ms
step:272/1480 train_time:8011ms step_avg:29.45ms
step:273/1480 train_time:8036ms step_avg:29.44ms
step:274/1480 train_time:8070ms step_avg:29.45ms
step:275/1480 train_time:8096ms step_avg:29.44ms
step:276/1480 train_time:8128ms step_avg:29.45ms
step:277/1480 train_time:8154ms step_avg:29.44ms
step:278/1480 train_time:8188ms step_avg:29.45ms
step:279/1480 train_time:8213ms step_avg:29.44ms
step:280/1480 train_time:8246ms step_avg:29.45ms
step:281/1480 train_time:8272ms step_avg:29.44ms
step:282/1480 train_time:8308ms step_avg:29.46ms
step:283/1480 train_time:8334ms step_avg:29.45ms
step:284/1480 train_time:8369ms step_avg:29.47ms
step:285/1480 train_time:8394ms step_avg:29.45ms
step:286/1480 train_time:8428ms step_avg:29.47ms
step:287/1480 train_time:8453ms step_avg:29.45ms
step:288/1480 train_time:8487ms step_avg:29.47ms
step:289/1480 train_time:8512ms step_avg:29.45ms
step:290/1480 train_time:8546ms step_avg:29.47ms
step:291/1480 train_time:8572ms step_avg:29.46ms
step:292/1480 train_time:8605ms step_avg:29.47ms
step:293/1480 train_time:8630ms step_avg:29.45ms
step:294/1480 train_time:8664ms step_avg:29.47ms
step:295/1480 train_time:8689ms step_avg:29.46ms
step:296/1480 train_time:8723ms step_avg:29.47ms
step:297/1480 train_time:8748ms step_avg:29.45ms
step:298/1480 train_time:8781ms step_avg:29.47ms
step:299/1480 train_time:8806ms step_avg:29.45ms
step:300/1480 train_time:8839ms step_avg:29.46ms
step:301/1480 train_time:8865ms step_avg:29.45ms
step:302/1480 train_time:8897ms step_avg:29.46ms
step:303/1480 train_time:8923ms step_avg:29.45ms
step:304/1480 train_time:8956ms step_avg:29.46ms
step:305/1480 train_time:8982ms step_avg:29.45ms
step:306/1480 train_time:9014ms step_avg:29.46ms
step:307/1480 train_time:9040ms step_avg:29.45ms
step:308/1480 train_time:9074ms step_avg:29.46ms
step:309/1480 train_time:9099ms step_avg:29.45ms
step:310/1480 train_time:9132ms step_avg:29.46ms
step:311/1480 train_time:9157ms step_avg:29.45ms
step:312/1480 train_time:9190ms step_avg:29.46ms
step:313/1480 train_time:9216ms step_avg:29.44ms
step:314/1480 train_time:9251ms step_avg:29.46ms
step:315/1480 train_time:9275ms step_avg:29.45ms
step:316/1480 train_time:9309ms step_avg:29.46ms
step:317/1480 train_time:9335ms step_avg:29.45ms
step:318/1480 train_time:9369ms step_avg:29.46ms
step:319/1480 train_time:9394ms step_avg:29.45ms
step:320/1480 train_time:9428ms step_avg:29.46ms
step:321/1480 train_time:9454ms step_avg:29.45ms
step:322/1480 train_time:9487ms step_avg:29.46ms
step:323/1480 train_time:9512ms step_avg:29.45ms
step:324/1480 train_time:9546ms step_avg:29.46ms
step:325/1480 train_time:9572ms step_avg:29.45ms
step:326/1480 train_time:9605ms step_avg:29.46ms
step:327/1480 train_time:9630ms step_avg:29.45ms
step:328/1480 train_time:9664ms step_avg:29.46ms
step:329/1480 train_time:9690ms step_avg:29.45ms
step:330/1480 train_time:9723ms step_avg:29.46ms
step:331/1480 train_time:9748ms step_avg:29.45ms
step:332/1480 train_time:9781ms step_avg:29.46ms
step:333/1480 train_time:9806ms step_avg:29.45ms
