step:320/1480 train_time:9360ms step_avg:29.25ms
step:321/1480 train_time:9385ms step_avg:29.24ms
step:322/1480 train_time:9418ms step_avg:29.25ms
step:323/1480 train_time:9445ms step_avg:29.24ms
step:324/1480 train_time:9478ms step_avg:29.25ms
step:325/1480 train_time:9504ms step_avg:29.24ms
step:326/1480 train_time:9536ms step_avg:29.25ms
step:327/1480 train_time:9562ms step_avg:29.24ms
step:328/1480 train_time:9594ms step_avg:29.25ms
step:329/1480 train_time:9620ms step_avg:29.24ms
step:330/1480 train_time:9652ms step_avg:29.25ms
step:331/1480 train_time:9678ms step_avg:29.24ms
step:332/1480 train_time:9711ms step_avg:29.25ms
step:333/1480 train_time:9737ms step_avg:29.24ms
step:334/1480 train_time:9769ms step_avg:29.25ms
step:335/1480 train_time:9795ms step_avg:29.24ms
step:336/1480 train_time:9828ms step_avg:29.25ms
step:337/1480 train_time:9853ms step_avg:29.24ms
step:338/1480 train_time:9886ms step_avg:29.25ms
step:339/1480 train_time:9911ms step_avg:29.24ms
step:340/1480 train_time:9945ms step_avg:29.25ms
step:341/1480 train_time:9970ms step_avg:29.24ms
step:342/1480 train_time:10003ms step_avg:29.25ms
step:343/1480 train_time:10028ms step_avg:29.24ms
step:344/1480 train_time:10061ms step_avg:29.25ms
step:345/1480 train_time:10086ms step_avg:29.23ms
step:346/1480 train_time:10119ms step_avg:29.25ms
step:347/1480 train_time:10144ms step_avg:29.23ms
step:348/1480 train_time:10178ms step_avg:29.25ms
step:349/1480 train_time:10203ms step_avg:29.24ms
step:350/1480 train_time:10236ms step_avg:29.25ms
step:351/1480 train_time:10262ms step_avg:29.24ms
step:352/1480 train_time:10294ms step_avg:29.25ms
step:353/1480 train_time:10320ms step_avg:29.24ms
step:354/1480 train_time:10353ms step_avg:29.25ms
step:355/1480 train_time:10379ms step_avg:29.24ms
step:356/1480 train_time:10412ms step_avg:29.25ms
step:357/1480 train_time:10438ms step_avg:29.24ms
step:358/1480 train_time:10470ms step_avg:29.25ms
step:359/1480 train_time:10496ms step_avg:29.24ms
step:360/1480 train_time:10529ms step_avg:29.25ms
step:361/1480 train_time:10554ms step_avg:29.24ms
step:362/1480 train_time:10587ms step_avg:29.25ms
step:363/1480 train_time:10613ms step_avg:29.24ms
step:364/1480 train_time:10647ms step_avg:29.25ms
step:365/1480 train_time:10672ms step_avg:29.24ms
step:366/1480 train_time:10705ms step_avg:29.25ms
step:367/1480 train_time:10730ms step_avg:29.24ms
step:368/1480 train_time:10763ms step_avg:29.25ms
step:369/1480 train_time:10788ms step_avg:29.24ms
step:370/1480 train_time:10821ms step_avg:29.25ms
step:371/1480 train_time:10847ms step_avg:29.24ms
step:372/1480 train_time:10880ms step_avg:29.25ms
step:373/1480 train_time:10905ms step_avg:29.24ms
step:374/1480 train_time:10939ms step_avg:29.25ms
step:375/1480 train_time:10964ms step_avg:29.24ms
step:376/1480 train_time:10996ms step_avg:29.25ms
step:377/1480 train_time:11022ms step_avg:29.24ms
step:378/1480 train_time:11054ms step_avg:29.24ms
step:379/1480 train_time:11080ms step_avg:29.23ms
step:380/1480 train_time:11113ms step_avg:29.24ms
step:381/1480 train_time:11138ms step_avg:29.23ms
step:382/1480 train_time:11171ms step_avg:29.24ms
step:383/1480 train_time:11197ms step_avg:29.23ms
step:384/1480 train_time:11230ms step_avg:29.24ms
step:385/1480 train_time:11255ms step_avg:29.23ms
step:386/1480 train_time:11288ms step_avg:29.24ms
step:387/1480 train_time:11313ms step_avg:29.23ms
step:388/1480 train_time:11346ms step_avg:29.24ms
step:389/1480 train_time:11372ms step_avg:29.23ms
step:390/1480 train_time:11405ms step_avg:29.24ms
step:391/1480 train_time:11431ms step_avg:29.24ms
step:392/1480 train_time:11464ms step_avg:29.25ms
step:393/1480 train_time:11490ms step_avg:29.24ms
step:394/1480 train_time:11523ms step_avg:29.25ms
step:395/1480 train_time:11549ms step_avg:29.24ms
step:396/1480 train_time:11582ms step_avg:29.25ms
step:397/1480 train_time:11607ms step_avg:29.24ms
step:398/1480 train_time:11640ms step_avg:29.25ms
step:399/1480 train_time:11666ms step_avg:29.24ms
step:400/1480 train_time:11699ms step_avg:29.25ms
step:401/1480 train_time:11724ms step_avg:29.24ms
step:402/1480 train_time:11758ms step_avg:29.25ms
step:403/1480 train_time:11783ms step_avg:29.24ms
step:404/1480 train_time:11816ms step_avg:29.25ms
step:405/1480 train_time:11841ms step_avg:29.24ms
step:406/1480 train_time:11874ms step_avg:29.25ms
step:407/1480 train_time:11900ms step_avg:29.24ms
step:408/1480 train_time:11932ms step_avg:29.24ms
step:409/1480 train_time:11957ms step_avg:29.24ms
step:410/1480 train_time:11990ms step_avg:29.24ms
step:411/1480 train_time:12016ms step_avg:29.24ms
step:412/1480 train_time:12048ms step_avg:29.24ms
step:413/1480 train_time:12074ms step_avg:29.24ms
step:414/1480 train_time:12107ms step_avg:29.24ms
step:415/1480 train_time:12133ms step_avg:29.24ms
step:416/1480 train_time:12165ms step_avg:29.24ms
step:417/1480 train_time:12191ms step_avg:29.23ms
step:418/1480 train_time:12224ms step_avg:29.24ms
step:419/1480 train_time:12249ms step_avg:29.23ms
step:420/1480 train_time:12283ms step_avg:29.24ms
step:421/1480 train_time:12308ms step_avg:29.24ms
step:422/1480 train_time:12341ms step_avg:29.24ms
step:423/1480 train_time:12366ms step_avg:29.23ms
step:424/1480 train_time:12400ms step_avg:29.24ms
step:425/1480 train_time:12425ms step_avg:29.24ms
step:426/1480 train_time:12458ms step_avg:29.24ms
step:427/1480 train_time:12484ms step_avg:29.24ms
step:428/1480 train_time:12516ms step_avg:29.24ms
step:429/1480 train_time:12542ms step_avg:29.24ms
step:430/1480 train_time:12575ms step_avg:29.24ms
step:431/1480 train_time:12601ms step_avg:29.24ms
step:432/1480 train_time:12634ms step_avg:29.24ms
step:433/1480 train_time:12660ms step_avg:29.24ms
step:434/1480 train_time:12692ms step_avg:29.24ms
step:435/1480 train_time:12717ms step_avg:29.23ms
step:436/1480 train_time:12750ms step_avg:29.24ms
step:437/1480 train_time:12776ms step_avg:29.24ms
step:438/1480 train_time:12809ms step_avg:29.24ms
step:439/1480 train_time:12835ms step_avg:29.24ms
step:440/1480 train_time:12867ms step_avg:29.24ms
step:441/1480 train_time:12892ms step_avg:29.23ms
step:442/1480 train_time:12925ms step_avg:29.24ms
step:443/1480 train_time:12950ms step_avg:29.23ms
step:444/1480 train_time:12983ms step_avg:29.24ms
step:445/1480 train_time:13009ms step_avg:29.23ms
step:446/1480 train_time:13042ms step_avg:29.24ms
step:447/1480 train_time:13067ms step_avg:29.23ms
step:448/1480 train_time:13101ms step_avg:29.24ms
step:449/1480 train_time:13126ms step_avg:29.23ms
step:450/1480 train_time:13159ms step_avg:29.24ms
step:451/1480 train_time:13185ms step_avg:29.23ms
step:452/1480 train_time:13217ms step_avg:29.24ms
step:453/1480 train_time:13243ms step_avg:29.23ms
step:454/1480 train_time:13276ms step_avg:29.24ms
step:455/1480 train_time:13302ms step_avg:29.23ms
step:456/1480 train_time:13334ms step_avg:29.24ms
step:457/1480 train_time:13360ms step_avg:29.23ms
step:458/1480 train_time:13393ms step_avg:29.24ms
